"FileId","RepoRelativePath","FileName","Extension","HasKidsSignal","HasRouteSignal","HasProgressSignal","HasGameSignal","Sha256","Status"
"KID-SRC-080","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/models.js","models.js",".js","NO","NO","NO","NO","8E609BB71C20B858C77F0E9F90BB1319DB8477B13F9F965F1A1E18524BF50881","DISCOVERED"
"KID-SRC-081","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/ProgressPanel.js","ProgressPanel.js",".js","YES","NO","YES","YES","520DD788B23AB34603C42581123BE40ECBC2E9845C60E3FC1870D441F57C6BA5","DISCOVERED"
"KID-SRC-082","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/ResultBanner.js","ResultBanner.js",".js","YES","NO","NO","NO","3D68689AA55AD591C1AD6C57D2E4A37D34ADBE7EBD0D088757A742D7247AB0F4","DISCOVERED"
"KID-SRC-083","__BASELINE_FRONTEND_PHASE5_20260104_113049/api.ts","api.ts",".ts","NO","NO","YES","YES","2522406D72C5C40239005CF589C1BCAD3869769FCEDE4EAFB0CBEAEC8E9C67E9","DISCOVERED"
"KID-SRC-084","__BASELINE_FRONTEND_PHASE5_20260104_113049/App.tsx","App.tsx",".tsx","NO","NO","YES","YES","7F304ED35F481297B68FF5F0304B0BD8FB3F4346F84072E40BD28E48F8529A97","DISCOVERED"
"KID-SRC-085","__BASELINE_FRONTEND_PHASE5_20260104_113049/components/ErrorBoundary.tsx","ErrorBoundary.tsx",".tsx","YES","NO","NO","NO","1A9BFE349FB488F29E5711EA2905B850332B8D0765B07A5BFCEAD997F8B5513A","DISCOVERED"
"KID-SRC-086","__BASELINE_FRONTEND_PHASE5_20260104_113049/components/GamePanel.tsx","GamePanel.tsx",".tsx","NO","NO","NO","YES","4F415D798265C6DA6B0ABB9F1D1F24EAD529B5456009556B3DE5E577A144934F","DISCOVERED"
"KID-SRC-087","__BASELINE_FRONTEND_PHASE5_20260104_113049/components/HealthPanel.tsx","HealthPanel.tsx",".tsx","NO","NO","YES","YES","1D3445A9AD8264905297A7E81DFE0A9CA4D61CAFC1B0ED58BDF61B2F72913D98","DISCOVERED"
"KID-SRC-088","__BASELINE_FRONTEND_PHASE5_20260104_113049/components/ProgressPanel.tsx","ProgressPanel.tsx",".tsx","NO","NO","YES","NO","ED4944258AEF2CC2B0305079EA9144BC9931E163F610312F922B800B0F4B17B3","DISCOVERED"
"KID-SRC-089","__BASELINE_FRONTEND_PHASE5_20260104_113049/daily-challenge/dailyChallengeApi.ts","dailyChallengeApi.ts",".ts","NO","NO","YES","YES","1750792CB60AB3B822BAFE7B6A1E12317E9E75DA8F4234D200826DC4FB43FCFB","DISCOVERED"
"KID-SRC-090","__BASELINE_FRONTEND_PHASE5_20260104_113049/daily-challenge/DailyChallengeDetailPage.tsx","DailyChallengeDetailPage.tsx",".tsx","NO","NO","YES","YES","5912AD79550E7FF5B96FBAAB50E0A1186B06A9E02A773771956F3735F304F7AB","DISCOVERED"
"KID-SRC-091","__BASELINE_FRONTEND_PHASE5_20260104_113049/daily-challenge/DailyChallengeHomeCard.tsx","DailyChallengeHomeCard.tsx",".tsx","NO","NO","YES","YES","532AB5CF585EC0113F0BC9C253336924291662261DF39BCB0E8E145B3BBA3142","DISCOVERED"
"KID-SRC-092","__BASELINE_FRONTEND_PHASE5_20260104_113049/daily-challenge/models.ts","models.ts",".ts","NO","NO","YES","YES","FEB2B904CEC083F4A0177770634EAF284DF88ABA6D930A178430624FC10FADAC","DISCOVERED"
"KID-SRC-093","__BASELINE_FRONTEND_PHASE5_20260104_113049/pages/Daily.tsx","Daily.tsx",".tsx","NO","NO","NO","YES","974AC1D5C66B9B7CD7798F0863D4ECF51E8F3AC970A148E70819BB930481262D","DISCOVERED"
"KID-SRC-094","__BASELINE_FRONTEND_PHASE5_20260104_113049/pages/Progress.tsx","Progress.tsx",".tsx","NO","NO","YES","YES","16365C895C23BB65CCE5008EB494509B32384BE27F6A7FDF15AFA5A49E556975","DISCOVERED"
"KID-SRC-095","__BASELINE_FRONTEND_PHASE5_20260104_113049/pages/PuzzlesPlay.tsx","PuzzlesPlay.tsx",".tsx","NO","NO","YES","YES","500A7D9EB793411EFBBCB6198F73CC7C2FE6E29803A7438C1938E0F2366AD4F1","DISCOVERED"
"KID-SRC-096","__BASELINE_FRONTEND_PHASE5_20260104_113049/pages/SolvePuzzle.tsx","SolvePuzzle.tsx",".tsx","NO","NO","YES","YES","6CBDD134108B5A1567FA40406EC18A0E3A115B76671B666FD0C0C67510A5FAA6","DISCOVERED"
"KID-SRC-097","__BASELINE_FRONTEND_PHASE5_20260104_113049/progress/ProgressPage.tsx","ProgressPage.tsx",".tsx","NO","NO","YES","YES","3ABFEAFB53F6B42B796132483FEB700E95C568F097FF4FFA28DE6804890EA052","DISCOVERED"
"KID-SRC-098","__BASELINE_FRONTEND_PHASE5_20260104_113049/puzzles/phase5/phase5.registry.ts","phase5.registry.ts",".ts","NO","NO","NO","YES","9AF5677091C8A8800AB7BB3AA2D05045FAA678BB9F2969F42215DEE4C308009A","DISCOVERED"
"KID-SRC-099","__BASELINE_FRONTEND_PHASE5B5C_20260104_120421/_legacy_js_backup_20251208/App.backup.js","App.backup.js",".js","YES","NO","NO","NO","56099084404ADCA4A8B3B2BF5F141462DEB01BBAC9F293B4A54124F2DBC5C593","DISCOVERED"
"KID-SRC-100","__BASELINE_FRONTEND_PHASE5B5C_20260104_120421/_legacy_js_backup_20251208/App.js","App.js",".js","YES","NO","YES","YES","502F225BF925CEE19536803F3168E06F9EC09D39C4BBCFA07D32B21E56EB5B8D","DISCOVERED"
"KID-SRC-101","__BASELINE_FRONTEND_PHASE5B5C_20260104_120421/_legacy_js_backup_20251208/dailyChallengeApi.js","dailyChallengeApi.js",".js","NO","NO","NO","YES","C6C697A996AA47E1818817E76ABDD923FF8EF5F85CBDA0D71D3EEA30737861EF","DISCOVERED"
"KID-SRC-102","__BASELINE_FRONTEND_PHASE5B5C_20260104_120421/_legacy_js_backup_20251208/DailyChallengeDetailPage.js","DailyChallengeDetailPage.js",".js","YES","NO","YES","YES","8701B3DE863A51C99E58FA2FC38642A015855FF87982BE4BAEB55092271FD54C","DISCOVERED"
